positive;One of the other rev
positive;A wonderful little p
positive;I thought this was a
negative;Basically there's a 
positive;Petter Mattei's Love
positive;Probably my all-time
positive;I sure would like to
negative;This show was an ama
negative;Encouraged by the po
positive;If you like original
negative;Phil the Alien is on
negative;I saw this movie whe
negative;So im not a big fan 
negative;The cast played Shak
positive;This a fantastic mov
negative;Kind of drawn in by 
positive;Some films just simp
negative;This movie made it i
positive;I remember this film
negative;An awful film! It mu
positive;After the success of
negative;I had the terrible m
positive;What an absolutely s
negative;First of all, let's 
negative;This was the worst m
positive;The Karen Carpenter 
positive;The Cell is an exoti
negative;This film tried to b
negative;This movie was so fr
positive;'War movie' is a Hol
positive;Taut and organically
positive;Ardh Satya is one of
negative;My first exposure to
positive;One of the most sign
negative;I watched this film 
negative;I bought this film a
negative;The plot is about th
negative;Ever watched a movie
positive;Okay, so this series
negative;After sitting throug
negative;It had all the clich
positive;This movie is based 
negative;Of all the films I h
negative;I had heard good thi
positive;This movie struck ho
positive;As a disclaimer, I'v
negative;Protocol is an impla
negative;How this film could 
positive;Preston Sturgis' THE
negative;Average (and surpris
